"Step","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success__MIN","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success__MAX"
"100000","0.0125","0","0.06"
"200000","0.02","0","0.04"
"300000","0.0375","0","0.08"
"400000","0.0375","0","0.1"
"500000","0.05","0.02","0.14"
"600000","0.05000000000000001","0","0.1"
"700000","0.052500000000000005","0","0.1"
"800000","0.0675","0.02","0.12"
"900000","0.0475","0.02","0.06"
"1000000","0.052500000000000005","0.02","0.1"
