"Step","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success__MIN","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success__MAX"
"100000","0.05","0","0.1"
"200000","0.042499999999999996","0","0.08"
"300000","0.045000000000000005","0","0.1"
"400000","0.065","0.02","0.12"
"500000","0.035","0","0.08"
"600000","0.055","0.02","0.16"
"700000","0.07250000000000001","0","0.16"
"800000","0.04","0.02","0.08"
"900000","0.052500000000000005","0","0.1"
"1000000","0.045","0.02","0.08"
