"Step","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success__MIN","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success__MAX"
"100000","0.0075","0","0.02"
"200000","0.017499999999999998","0","0.06"
"300000","0.0275","0","0.08"
"400000","0.04","0","0.1"
"500000","0.0475","0","0.1"
"600000","0.0475","0.02","0.08"
"700000","0.065","0","0.12"
"800000","0.08249999999999999","0.04","0.12"
"900000","0.0675","0.04","0.1"
"1000000","0.07500000000000001","0.04","0.12"
