"Step","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success__MIN","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success__MAX"
"100000","0.0025","0","0.02"
"200000","0.0225","0","0.06"
"300000","0.0275","0","0.06"
"400000","0.027500000000000004","0","0.04"
"500000","0.0475","0.02","0.08"
"600000","0.055","0.02","0.1"
"700000","0.0525","0","0.1"
"800000","0.06","0.02","0.14"
"900000","0.060000000000000005","0","0.14"
"1000000","0.07500000000000001","0.04","0.12"
