"Step","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success__MIN","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.44","0.02","0.68"
"200000","0.44","0.08","0.72"
"300000","0.7949999999999999","0.68","0.88"
"400000","0.715","0.44","0.9"
"500000","0.79","0.62","0.96"
"600000","0.85","0.78","0.92"
"700000","0.835","0.72","0.94"
"800000","0.865","0.74","0.94"
"900000","0.815","0.54","0.96"
"1000000","0.95","0.9","0.98"
