"Step","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success__MIN","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success__MAX"
"100000","0.045","0","0.14"
"200000","0.11","0.04","0.24"
"300000","0.15500000000000003","0.06","0.32"
"400000","0.225","0.04","0.48"
"500000","0.23500000000000001","0.16","0.36"
"600000","0.225","0.16","0.34"
"700000","0.175","0.12","0.24"
"800000","0.24000000000000002","0.08","0.34"
"900000","0.23","0.18","0.28"
"1000000","0.23","0.16","0.32"
