"Step","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success__MIN","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.03","0","0.06"
"200000","0.12000000000000001","0.08","0.16"
"300000","0.145","0.1","0.26"
"400000","0.195","0.18","0.22"
"500000","0.165","0","0.24"
"600000","0.24","0","0.36"
"700000","0.17","0.02","0.32"
"800000","0.22000000000000003","0.04","0.4"
"900000","0.27","0.14","0.36"
"1000000","0.36000000000000004","0.32","0.38"
