"Step","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success__MIN","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.135","0.08","0.2"
"200000","0.155","0.1","0.2"
"300000","0.39","0.26","0.5"
"400000","0.41000000000000003","0.3","0.52"
"500000","0.33999999999999997","0.32","0.38"
"600000","0.395","0.3","0.56"
"700000","0.385","0.3","0.48"
"800000","0.405","0.3","0.48"
"900000","0.395","0.34","0.44"
"1000000","0.36","0.3","0.48"
