"Step","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success__MIN","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success__MAX"
"100000","0.0025","0","0.02"
"200000","0.0125","0","0.04"
"300000","0.01","0","0.04"
"400000","0.034999999999999996","0","0.08"
"500000","0.015","0","0.04"
"600000","0.015000000000000001","0","0.06"
"700000","0.02","0","0.04"
"800000","0.0125","0","0.02"
"900000","0.017499999999999998","0","0.04"
"1000000","0.015000000000000001","0","0.04"
