"Step","env_name: cube-double-play-singletask-v0 - evaluation/success","env_name: cube-double-play-singletask-v0 - evaluation/success__MIN","env_name: cube-double-play-singletask-v0 - evaluation/success__MAX"
"100000","0","0","0"
"200000","0.02","0","0.06"
"300000","0.2","0.1","0.34"
"400000","0.27","0.14","0.44"
"500000","0.4","0.24","0.52"
"600000","0.45","0.28","0.54"
"700000","0.47","0.3","0.66"
"800000","0.485","0.38","0.64"
"900000","0.4775","0.28","0.58"
"1000000","0.5475","0.44","0.66"
