"Step","env_name: scene-play-singletask-v0 - evaluation/success","env_name: scene-play-singletask-v0 - evaluation/success__MIN","env_name: scene-play-singletask-v0 - evaluation/success__MAX"
"100000","0","0","0"
"200000","0","0","0"
"300000","0","0","0"
"400000","0.015","0","0.04"
"500000","0.025","0","0.08"
"600000","0.115","0","0.24"
"700000","0.29250000000000004","0.08","0.86"
"800000","0.395","0.02","0.92"
"900000","0.395","0.04","0.78"
"1000000","0.4025","0.04","0.64"
