"Step","env_name: scene-play-singletask-v0 - evaluation/success","env_name: scene-play-singletask-v0 - evaluation/success__MIN","env_name: scene-play-singletask-v0 - evaluation/success__MAX"
"100000","0","0","0"
"200000","0.005","0","0.04"
"300000","0.02","0","0.1"
"400000","0.02","0","0.04"
"500000","0.1","0","0.4"
"600000","0.20500000000000004","0.12","0.32"
"700000","0.3675","0.16","0.5"
"800000","0.48750000000000004","0.3","0.7"
"900000","0.54","0.32","0.78"
"1000000","0.465","0.28","0.62"
