"Step","env_name: scene-play-singletask-v0 - evaluation/success","env_name: scene-play-singletask-v0 - evaluation/success__MIN","env_name: scene-play-singletask-v0 - evaluation/success__MAX"
"100000","0","0","0"
"200000","0","0","0"
"300000","0","0","0"
"400000","0.01","0","0.08"
"500000","0.075","0","0.58"
"600000","0.135","0.02","0.54"
"700000","0.265","0","0.9"
"800000","0.375","0.04","0.88"
"900000","0.395","0.2","0.88"
"1000000","0.4275","0.1","0.88"
