"Step","env_name: cube-single-play-singletask-v0 - evaluation/success","env_name: cube-single-play-singletask-v0 - evaluation/success__MIN","env_name: cube-single-play-singletask-v0 - evaluation/success__MAX"
"100000","0.16","0.08","0.26"
"200000","0.18","0.08","0.4"
"300000","0.265","0.08","0.42"
"400000","0.29500000000000004","0.14","0.42"
"500000","0.365","0.16","0.58"
"600000","0.48000000000000004","0.28","0.62"
"700000","0.45999999999999996","0.42","0.54"
"800000","0.595","0.52","0.64"
"900000","0.5950000000000001","0.52","0.64"
"1000000","0.53","0.38","0.66"
