"Step","env_name: cube-single-play-singletask-v0 - evaluation/success","env_name: cube-single-play-singletask-v0 - evaluation/success__MIN","env_name: cube-single-play-singletask-v0 - evaluation/success__MAX"
"100000","0.7849999999999999","0.68","0.9"
"200000","0.78","0.64","0.92"
"300000","0.9199999999999999","0.84","1"
"400000","0.96","0.88","1"
"500000","0.985","0.94","1"
"600000","0.965","0.9","1"
"700000","0.94","0.88","1"
"800000","0.97","0.9","1"
"900000","0.96","0.9","1"
"1000000","0.9099999999999999","0.82","0.98"
