"Step","env_name: cube-double-play-singletask-v0 - evaluation/success","env_name: cube-double-play-singletask-v0 - evaluation/success__MIN","env_name: cube-double-play-singletask-v0 - evaluation/success__MAX"
"100000","0","0","0"
"200000","0.08","0.04","0.12"
"300000","0.2","0.06","0.32"
"400000","0.28500000000000003","0.12","0.46"
"500000","0.37999999999999995","0.2","0.62"
"600000","0.35500000000000004","0.26","0.46"
"700000","0.41000000000000003","0.32","0.56"
"800000","0.5","0.36","0.62"
"900000","0.44499999999999995","0.36","0.5"
"1000000","0.45","0.32","0.56"
