"Step","env_name: scene-play-singletask-v0 - evaluation/success","env_name: scene-play-singletask-v0 - evaluation/success__MIN","env_name: scene-play-singletask-v0 - evaluation/success__MAX"
"100000","0.96","0.9","1"
"200000","0.945","0.9","0.98"
"300000","0.97","0.94","1"
"400000","1","1","1"
"500000","0.975","0.92","1"
"600000","0.965","0.9","1"
"700000","0.97","0.94","0.98"
"800000","0.99","0.96","1"
"900000","0.99","0.98","1"
"1000000","0.99","0.98","1"
