"Step","env_name: scene-play-singletask-v0 - evaluation/success","env_name: scene-play-singletask-v0 - evaluation/success__MIN","env_name: scene-play-singletask-v0 - evaluation/success__MAX"
"100000","0.225","0","0.68"
"200000","0.645","0.6","0.74"
"300000","0.735","0.08","0.96"
"400000","0.51","0","0.78"
"500000","0.8699999999999999","0.78","0.98"
"600000","0.825","0.74","0.88"
"700000","0.7949999999999999","0.6","0.98"
"800000","0.715","0.5","0.88"
"900000","0.7650000000000001","0.64","0.9"
"1000000","0.7600000000000001","0.68","0.9"
