"Step","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success__MIN","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.035","0","0.08"
"200000","0.06","0.02","0.1"
"300000","0.135","0.06","0.24"
"400000","0.21500000000000002","0.16","0.28"
"500000","0.175","0.1","0.24"
"600000","0.22499999999999998","0.16","0.3"
"700000","0.2","0.08","0.3"
"800000","0.30000000000000004","0.18","0.4"
"900000","0.28","0.22","0.36"
"1000000","0.265","0.12","0.34"
