"Step","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success__MIN","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.044444444444444446","0","0.08"
"200000","0.07777777777777778","0","0.16"
"300000","0.10666666666666667","0","0.3"
"400000","0.11333333333333336","0.02","0.28"
"500000","0.13111111111111112","0.04","0.28"
"600000","0.21555555555555556","0.02","0.44"
"700000","0.1888888888888889","0","0.38"
"800000","0.22000000000000003","0.02","0.56"
"900000","0.26","0.02","0.6"
"1000000","0.24222222222222223","0.02","0.46"
