"Step","env_name: cube-single-play-singletask-v0 - training/actor/g_norm_mean","env_name: cube-single-play-singletask-v0 - training/actor/g_norm_mean__MIN","env_name: cube-single-play-singletask-v0 - training/actor/g_norm_mean__MAX","env_name: puzzle-3x3-play-singletask-v0 - training/actor/g_norm_mean","env_name: puzzle-3x3-play-singletask-v0 - training/actor/g_norm_mean__MIN","env_name: puzzle-3x3-play-singletask-v0 - training/actor/g_norm_mean__MAX","env_name: humanoidmaze-medium-navigate-singletask-v0 - training/actor/g_norm_mean","env_name: humanoidmaze-medium-navigate-singletask-v0 - training/actor/g_norm_mean__MIN","env_name: humanoidmaze-medium-navigate-singletask-v0 - training/actor/g_norm_mean__MAX","env_name: antsoccer-arena-navigate-singletask-v0 - training/actor/g_norm_mean","env_name: antsoccer-arena-navigate-singletask-v0 - training/actor/g_norm_mean__MIN","env_name: antsoccer-arena-navigate-singletask-v0 - training/actor/g_norm_mean__MAX","env_name: puzzle-4x4-play-singletask-v0 - training/actor/g_norm_mean","env_name: puzzle-4x4-play-singletask-v0 - training/actor/g_norm_mean__MIN","env_name: puzzle-4x4-play-singletask-v0 - training/actor/g_norm_mean__MAX","env_name: humanoidmaze-large-navigate-singletask-v0 - training/actor/g_norm_mean","env_name: humanoidmaze-large-navigate-singletask-v0 - training/actor/g_norm_mean__MIN","env_name: humanoidmaze-large-navigate-singletask-v0 - training/actor/g_norm_mean__MAX","env_name: antmaze-large-navigate-singletask-v0 - training/actor/g_norm_mean","env_name: antmaze-large-navigate-singletask-v0 - training/actor/g_norm_mean__MIN","env_name: antmaze-large-navigate-singletask-v0 - training/actor/g_norm_mean__MAX","env_name: cube-double-play-singletask-v0 - training/actor/g_norm_mean","env_name: cube-double-play-singletask-v0 - training/actor/g_norm_mean__MIN","env_name: cube-double-play-singletask-v0 - training/actor/g_norm_mean__MAX","env_name: scene-play-singletask-v0 - training/actor/g_norm_mean","env_name: scene-play-singletask-v0 - training/actor/g_norm_mean__MIN","env_name: scene-play-singletask-v0 - training/actor/g_norm_mean__MAX"
"2000","0.47785793617367744","0.4192640483379364","0.5253428220748901","3.8056641817092896","3.633739471435547","3.9332077503204346","0.03133606631308794","0.019427238032221794","0.04611856862902641","0.035930331563577056","0.026197990402579308","0.051949597895145416","3.5887407660484314","3.2842769622802734","3.80414080619812","0.028949605068191886","0.019623275846242905","0.0413917675614357","0.05346251465380192","0.03721451386809349","0.05912734940648079","0.5110194459557533","0.3573082983493805","0.5892568826675415","1.2335866859980993","1.105156660079956","1.364659309387207"
"4000","0.8249147161841393","0.662750780582428","0.9555167555809021","10.489234685897827","10.118345260620117","10.826264381408691","0.09694478753954172","0.0839814767241478","0.10741110146045685","0.055057656951248646","0.046089064329862595","0.07630889117717743","9.374245047569275","8.738760948181152","10.044389724731445","0.06660595489665866","0.049525465816259384","0.09064612537622452","0.06616491917520761","0.05147184804081917","0.08217428624629974","0.5309291929006577","0.41312286257743835","0.6307143568992615","3.4994215965270996","3.280015230178833","3.955467939376831"
"6000","2.042906805872917","1.8741401433944702","2.1501431465148926","14.63454008102417","14.161140441894531","15.088704109191895","0.13947941735386848","0.1265074461698532","0.14801423251628876","0.0766837140545249","0.06144891306757927","0.09757176786661148","17.690404891967773","16.920557022094727","18.35536003112793","0.12405671365559101","0.11228104680776596","0.1543012261390686","0.08803005702793598","0.06787668913602829","0.10656487196683884","0.6086897812783718","0.458910197019577","0.8210113644599915","3.9945978096553256","3.7756805419921875","4.236719131469727"
"8000","3.2780048549175262","3.097691297531128","3.4192683696746826","18.079702615737915","17.758108139038086","18.614309310913086","0.165853139013052","0.14932307600975037","0.18110530078411102","0.1043543629348278","0.08520558476448059","0.13484464585781097","21.49361562728882","20.925912857055664","22.374906539916992","0.16266455501317978","0.14505058526992798","0.17250558733940125","0.13220791518688202","0.10208918899297714","0.15848073363304138","0.9838500544428825","0.6824564933776855","1.4582154750823975","5.354585238865444","5.154152870178223","5.534845352172852"
"10000","3.710861712694168","3.5381343364715576","3.8929898738861084","20.400880098342896","19.72188377380371","21.60286521911621","0.18295619636774063","0.1596398800611496","0.2118377983570099","0.14519496448338032","0.12838472425937653","0.17623722553253174","26.362487077713013","25.662343978881836","26.75839614868164","0.1791540626436472","0.1614806056022644","0.1983320266008377","0.18102561496198177","0.1371883898973465","0.22440128028392792","2.1854140609502792","1.0576550960540771","3.098461866378784","5.981455053601946","5.831860065460205","6.255620956420898"
"12000","4.020294278860092","3.9016544818878174","4.082188606262207","21.78188920021057","20.8979549407959","22.64325714111328","0.2127902004867792","0.19656811654567719","0.22536492347717285","0.21309603936970234","0.1949923038482666","0.23853516578674316","29.92852520942688","28.968769073486328","30.853239059448242","0.18755698576569557","0.17246463894844055","0.20079682767391205","0.226461386308074","0.18416139483451843","0.2590692937374115","4.319708377122879","3.132023572921753","4.729621887207031","6.693091324397495","6.546841621398926","6.9276323318481445"
"14000","4.165156781673431","4.004296779632568","4.23615026473999","22.944595098495483","22.68630027770996","23.30647087097168","0.2331747356802225","0.19925610721111298","0.2792084813117981","0.2528459820896387","0.2400827258825302","0.29320093989372253","31.743587970733643","31.221704483032227","32.41050338745117","0.19808659702539444","0.1766011118888855","0.22658215463161469","0.25628987699747086","0.1972518414258957","0.2977791130542755","5.490982413291931","5.159348011016846","6.03036642074585","7.326876844678607","7.0616068840026855","7.545572757720947"
"16000","4.32913875579834","3.952272891998291","4.614025115966797","23.957660913467407","23.612768173217773","24.261672973632812","0.27784039080142975","0.2529398798942566","0.2998447120189667","0.29706699401140213","0.2819647789001465","0.33377617597579956","32.993895530700684","31.638883590698242","34.03432846069336","0.21484157629311085","0.1868709772825241","0.23195913434028625","0.27225719206035137","0.21516571938991547","0.32928916811943054","6.253007650375366","5.776582717895508","6.698976039886475","7.663107054574149","7.37930154800415","8.022810935974121"
"18000","4.417125701904297","4.244548320770264","4.566181182861328","24.70422053337097","23.85139274597168","25.449880599975586","0.30890680104494095","0.294432133436203","0.3322676122188568","0.3441101349890232","0.3280150592327118","0.3760315179824829","34.286555767059326","32.29145050048828","35.963191986083984","0.22611181065440178","0.2062598466873169","0.23642884194850922","0.28711060248315334","0.22744353115558624","0.35057687759399414","6.290665447711945","5.8391432762146","6.6669535636901855","8.002358572823661","7.816521644592285","8.21833324432373"
"20000","4.488326370716095","4.22803258895874","4.9157562255859375","25.446974277496338","24.762653350830078","26.173629760742188","0.36265696212649345","0.3446061313152313","0.3784824311733246","0.4043584503233433","0.3644551932811737","0.4215884208679199","35.45284175872803","34.55922317504883","36.52391052246094","0.2587488554418087","0.2510083019733429","0.2784022092819214","0.3075063079595566","0.2514186501502991","0.3695037364959717","6.400041937828064","6.1086554527282715","6.8943610191345215","8.208169664655413","7.9626054763793945","8.353261947631836"
