"Step","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success__MIN","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success__MAX"
"100000","0.08500000000000002","0.02","0.14"
"200000","0.15750000000000003","0.06","0.26"
"300000","0.165","0.06","0.26"
"400000","0.19749999999999998","0.12","0.28"
"500000","0.20750000000000002","0.12","0.28"
"600000","0.22249999999999998","0.18","0.3"
"700000","0.21249999999999997","0.14","0.3"
"800000","0.22999999999999998","0.14","0.36"
"900000","0.2525","0.16","0.44"
"1000000","0.27","0.22","0.34"
