"Step","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success__MIN","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success__MAX"
"100000","0.0175","0","0.04"
"200000","0.14500000000000002","0.02","0.6"
"300000","0.2025","0.06","0.36"
"400000","0.27749999999999997","0.22","0.38"
"500000","0.26","0.2","0.32"
"600000","0.28500000000000003","0.12","0.48"
"700000","0.3175","0.26","0.4"
"800000","0.24750000000000003","0.1","0.34"
"900000","0.2875","0.2","0.38"
"1000000","0.28750000000000003","0.2","0.42"
