"Step","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success__MIN","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success__MAX"
"100000","0.005","0","0.02"
"200000","0.04000000000000001","0","0.14"
"300000","0.11500000000000002","0.02","0.28"
"400000","0.155","0.02","0.36"
"500000","0.155","0.06","0.26"
"600000","0.2175","0.1","0.4"
"700000","0.2225","0.1","0.36"
"800000","0.23750000000000002","0.1","0.34"
"900000","0.1875","0.08","0.36"
"1000000","0.2","0.1","0.3"
