"Step","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success__MIN","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success__MAX"
"100000","0.095","0.02","0.18"
"200000","0.1275","0.04","0.28"
"300000","0.2075","0.16","0.28"
"400000","0.19249999999999998","0.12","0.24"
"500000","0.22","0.16","0.32"
"600000","0.215","0.12","0.32"
"700000","0.24249999999999997","0.2","0.38"
"800000","0.2625","0.18","0.34"
"900000","0.20999999999999996","0.1","0.32"
"1000000","0.255","0.2","0.38"
