"Step","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success__MIN","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success__MAX"
"100000","0.07625000000000001","0","0.36"
"200000","0.14625000000000002","0","0.48"
"300000","0.17125","0.02","0.3"
"400000","0.14375000000000004","0.02","0.36"
"500000","0.12250000000000001","0.02","0.32"
"600000","0.10625000000000001","0.02","0.24"
"700000","0.08125","0","0.18"
"800000","0.07500000000000002","0","0.14"
"900000","0.0675","0","0.12"
"1000000","0.07000000000000002","0","0.14"
