"Step","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success__MIN","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success__MAX"
"100000","0.053750000000000006","0","0.18"
"200000","0.04000000000000001","0","0.1"
"300000","0.04","0.02","0.08"
"400000","0.06000000000000001","0","0.12"
"500000","0.04250000000000001","0","0.1"
"600000","0.06799999999999999","0","0.18"
"700000","0.06857142857142857","0.02","0.14"
"800000","0.05692307692307693","0.02","0.1"
"900000","0.059999999999999984","0","0.12"
"1000000","0.043333333333333335","0","0.1"
